,city,country,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,date
0,topchikha,ru,52.82,83.12,64.4,77.0,0,4.47,1596917642
1,chaiyaphum,th,15.75,102,76.05,89.0,87,5.64,1596917642
2,tinskoy,ru,56.15,96.92,59.9,76.0,52,4.23,1596917643
3,diest,be,50.98,5.05,84.99,37.0,45,6.93,1596917643
4,bin qirdan,tn,33.14,11.22,77.16,68.0,0,6.02,1596917643
5,tabora,tz,-5.02,32.8,71.6,53.0,20,11.41,1596917643
6,casino,au,-28.87,153.05,51.01,81.0,0,5.82,1596917643
7,seka,th,17.93,103.96,77.74,86.0,99,2.86,1596917643
8,udomlya,ru,57.88,34.99,59.97,93.0,77,3.83,1596917643
9,nevelsk,ru,46.67,141.86,44.6,93.0,100,2.24,1596917643
10,chimore,bo,-16.98,-65.13,90.57,29.0,77,3.71,1596917643
11,paharpur,pk,32.1,70.97,96.73,45.0,0,13.33,1596917643
12,klaebu,no,63.3,10.48,57.2,71.0,75,19.46,1596917643
13,poum,nc,-20.23,164.02,70.32,76.0,52,11.23,1596917643
14,santa fe,ar,-31.63,-60.7,68,75.0,11,1.99,1596917470
15,katiola,ci,8.13,-5.1,75.2,88.0,20,6.93,1596917449
16,tangping,cn,22.03,111.93,78.33,91.0,89,1.39,1596917644
17,novouzensk,ru,50.46,48.14,67.12,64.0,89,11.72,1596917644
18,tynda,ru,55.17,124.72,54.9,96.0,100,6.24,1596917644
19,lohja,fi,60.25,24.07,68,65.0,0,5.01,1596917644
20,umm lajj,sa,25.02,37.27,85.39,63.0,0,3.02,1596917644
21,campbellton,ca,48.01,-66.67,84.52,40.0,50,7.36,1596917644
22,melbourne,au,28.08,-80.61,91.99,74.0,1,12.75,1596917563
23,diapaga,bf,12.07,1.79,74.55,89.0,98,5.37,1596917644
24,ola,ru,59.58,151.28,60.37,76.0,100,1.54,1596917644
25,okmulgee,us,35.62,-95.96,96.01,57.0,0,8.99,1596917644
26,dakar,sn,14.69,-17.44,84.2,74.0,75,9.17,1596917645
27,leua,ao,48.22,18.61,75.99,61.0,0,5.64,1596917645
28,panguna,pg,-6.32,155.48,67.96,100.0,99,1.86,1596917645
